AF	645807	38928346
AX	1580	29789
AL	28748	2877797
DZ	2381741	43851044
AS	197	55191
AD	464	77265
AO	1246700	31787566
AI	96	14906
AQ	13209000	2700
AG	442	93659
AR	2777409	44272125
AM	29743	2936706
AW	193	104588
AU	7682557	24641662
AT	83858	8592400
AZ	86530	9923914
BS	13962	397164
BH	694	1637896
BD	142615	168065920
BB	431	289680
BY	207600	9608058
BE	30518	10449361
BZ	22966	340844
BJ	112622	11801595
BM	53	69839
BT	46650	817054
BO	1098581	10969646
BQ	N/A	22303
BA	51129	3871643
BW	581730	2374636
BV	49	0
BR	8544418	212392717
IO	60	n/a
VG	151	32206
BN	5765	434076
BG	110994	6924716
BF	267950	20321560
BI	27834	11575964
CV	4033	8000
KH	181035	16245729
CM	475442	25312993
CA	9976137	37742154
KY	259	56092
CF	622436	4825711
TD	1284000	15814345
CL	755482	17508260
CN	9806391	1439323776
CX	135	1502
CC	14	550
CO	1141748	49464683
KM	1862	850910
CG	342000	5542197
CD	2344798	86727573
CK	237	12400
CR	51090	4755234
CI	322461	25531083
HR	56542	4470534
CU	114525	11047251
CW	444	147695
CY	9251	1172458
CZ	78866	10627448
DK	43093	5569077
DJ	23200	985690
DM	751	73449
DO	48734	10349741
TP	14604	1201542
EC	272046	15654411
EG	1001450	101168745
SV	21041	6125512
GQ	28051	1360104
ER	121100	5309659
EE	45226	1257921
ET	1127127	110135635
FK	16076	2932
FO	1414	49947
FJ	18274	903207
FI	338145	5268799
FR	547030	65233271
GF	83534	253511
PF	3894	280026
TF	7781	120
GA	267667	2109099
GM	10689	2228075
GE	69700	4931226
DE	357021	82293457
GH	238538	30096970
GI	7	29185
GR	131957	10775557
GL	2175600	57728
GD	345	110152
GP	1780	468205
GU	545	161001
GT	108894	14647083
GG	91	65849
GF	83534	253511
GN	245857	13398180
GW	36123	1953723
GP	28051	1360104
GY	215083	735554
HT	27748	9996731
HM	n/a	n/a
VA	<1	842
HN	112088	8598561
HK	1085	7141106
HU	92966	9919128
IS	102928	317351
IN	3166944	1380004385
ID	1904443	273523615
IR	1648195	82503583
IQ	434128	40412299
IE	70273	4832765
IL	20991	8583916
IT	301323	59290969
CI	322461	25531083
JM	10991	2930050
JP	377812	127185332
JE	116	96513
JO	89342	10069794
KZ	2715900	18157122
KE	581787	52214791
KI	832	104488
KP	122762	24983205
KR	99268	49115196
KV	10908	1859203
KW	17818	4248974
KG	199900	5664939
LA	236800	6911544
LV	64598	2165165
LB	10452	6065922
LS	30355	2292682
LR	99065	4977720
LY	1777060	6569864
LI	160	37313
LT	65300	2904391
LU	2586	520672
MO	25	592731
MK	25433	2091719
MG	587041	26969642
MW	118480	19718743
MY	329758	30513848
MV	298	393253
ML	1240198	19689140
MT	315	412655
IM	572	86866
MH	181	70983
MQ	1128	410508
MR	1035000	4661149
MU	2040	1271368
YT	373	266380
MX	1967138	130759074
FM	721	105681
MD	33843	3583288
MC	2	30508
MN	1564160	2992908
CS	14026	650036
MS	102	5215
MA	6600000	36635156
MZ	799380	31408823
MM	676577	56320206
NA	825112	2641996
NR	21	9488
NP	147181	31551305
NL	41526	16877351
AN	800	n/a
NC	18736	267840
NZ	270534	4401916
NI	129454	5848641
NE	1186408	23176691
NG	923768	200962417
NU	259	1190
NF	35	2210
MP	477	51483
NO	323759	5147792
OM	309500	5001875
PK	880254	200813818
PW	491	21186
PS	6242	5186790
PA	77082	3608431
PG	462840	6552730
PY	406752	6703860
PE	1285216	30147935
PH	300000	106512074
PN	47	54
PL	312685	38346279
PT	92391	10813834
PR	9104	3620897
QA	11521	2743901
RE	2547	889918
RO	238391	21729871
RU	16894741	143964709
RW	26338	12794412
EH	266000	582478
BL	21	7267
SH	410	4096
KN	267	51538
LC	616	163362
MF	37	31530
PM	242	5716
VC	392	102918
WS	2785	196628
SM	61	32742
ST	1001	213379
SA	2149690	34140662
SN	196722	16743859
RS	77474	7209764
SC	455	95702
SL	71740	7883123
SG	683	5674472
SK	49034	5492677
SI	20273	1988292
SB	28400	609883
SO	637657	15636171
ZA	1219090	58065097
GS	3903	n/a
SS	619745	12530717
ES	504842	47737941
LK	65610	22053488
SD	2505810	36729501
SR	163820	573311
SJ	61606	1872
SZ	17363	1451428
SE	449965	9723809
CH	41285	8061516
SY	185180	18499181
TW	36175	23415126
TJ	143100	8191958
TZ	945088	52482726
TH	513115	67976405
TP	14604	1231116
TG	56785	7756937
TK	10	1337
TO	651	106440
TT	5128	1223916
TN	163610	11134588
TR	773473	81619392
TM	488100	5231422
TC	497	49070
TV	26	10782
UG	242554	38319241
UA	603628	44291413
AE	77700	9682088
UK	244140	66573504
US	9629047	331002651
UM	n/a	n/a
UY	175016	3332972
UZ	447400	29199942
VU	12190	266937
VA	1	842
VE	916445	26457369
VN	332378	96491146
VG	151	32680
VI	352	104170
WF	274	15561
EH	266000	582478
YE	528076	29579986
ZM	752614	18137369
ZW	390784	17297495
